Date,Event,Region
2026-01-01,New Year’s Day,england-and-wales
2026-04-03,Good Friday,england-and-wales
2026-04-06,Easter Monday,england-and-wales
2026-05-04,Early May bank holiday,england-and-wales
2026-05-25,Spring bank holiday,england-and-wales
2026-08-31,Summer bank holiday,england-and-wales
2026-12-25,Christmas Day,england-and-wales
2026-12-28,Boxing Day,england-and-wales
2027-01-01,New Year’s Day,england-and-wales
2027-03-26,Good Friday,england-and-wales
2027-03-29,Easter Monday,england-and-wales
2027-05-03,Early May bank holiday,england-and-wales
2027-05-31,Spring bank holiday,england-and-wales
2027-08-30,Summer bank holiday,england-and-wales
2027-12-27,Christmas Day,england-and-wales
2027-12-28,Boxing Day,england-and-wales
