track_name,title,artist,album,bpm,genre,duration,extension,full_file_name
"1998 - Autoflower, Beau De Wit (Original Mix) 137","Autoflower, Beau De Wit (Original Mix) 137",1998,,137,,05:32,.mp3,"1998 - Autoflower, Beau De Wit (Original Mix) 137.mp3"
1998 - Osccurate (Boudi Remix) 134,Osccurate (Boudi Remix) 134,1998,,134,,06:57,.mp3,1998 - Osccurate (Boudi Remix) 134.mp3
"52 - Dsl - Tracid, Koal 53 (Original Mix) 145","Dsl - Tracid, Koal 53 (Original Mix) 145",52,,145,,06:12,.mp3,"52 - Dsl - Tracid, Koal 53 (Original Mix) 145.mp3"
A.O.P 17 - Hibziak (Original Mix) 140,Hibziak (Original Mix) 140,A.O.P 17,,140,,06:04,.mp3,A.O.P 17 - Hibziak (Original Mix) 140.mp3
Acid Is My Dna - Close Proximity (Original Mix) 135,Close Proximity (Original Mix) 135,Acid Is My Dna,,135,,06:13,.mp3,Acid Is My Dna - Close Proximity (Original Mix) 135.mp3
Adonis Blue - Aiden Francis (Original Mix) 135,Aiden Francis (Original Mix) 135,Adonis Blue,,135,,06:15,.mp3,Adonis Blue - Aiden Francis (Original Mix) 135.mp3
Airy Dance - Sole Dosi (Original Mix) 150,Sole Dosi (Original Mix) 150,Airy Dance,,150,,06:00,.mp3,Airy Dance - Sole Dosi (Original Mix) 150.mp3
Amber - Natious (Sioc Remix) 150,Natious (Sioc Remix) 150,Amber,,150,,06:43,.mp3,Amber - Natious (Sioc Remix) 150.mp3
Ambicious - Gzardin (Original Mix) 134,Gzardin (Original Mix) 134,Ambicious,,134,,07:08,.mp3,Ambicious - Gzardin (Original Mix) 134.mp3
Ankasa - Shoal (Original Mix) 132,Shoal (Original Mix) 132,Ankasa,,132,,07:25,.mp3,Ankasa - Shoal (Original Mix) 132.mp3
Annica - Narel (A Song For Matt) 150,Narel (A Song For Matt) 150,Annica,,150,,08:35,.mp3,Annica - Narel (A Song For Matt) 150.mp3
Cafe Candente - Joshua Alòs (Original Mix) 145,Joshua Alòs (Original Mix) 145,Cafe Candente,,145,,04:24,.mp3,Cafe Candente - Joshua Alòs (Original Mix) 145.mp3
Callisto - Phasmid (Original Mix) 93,Phasmid (Original Mix) 93,Callisto,,93,,07:22,.mp3,Callisto - Phasmid (Original Mix) 93.mp3
"Check Out That - Yikes (Dj Pgz Rewind Yourself Mix, Corey Kikos Edit) 138","Yikes (Dj Pgz Rewind Yourself Mix, Corey Kikos Edit) 138",Check Out That,,138,,04:44,.mp3,"Check Out That - Yikes (Dj Pgz Rewind Yourself Mix, Corey Kikos Edit) 138.mp3"
